pais,sector,capa,empleo,n_obs,alpha,beta,zeta
Costa Rica,Electrónicos,Técnicos y profesionales asociados,286.0,6.0,0.2742269061348009,0.5318425087339562,0.7326428414421837
Costa Rica,Electrónicos,Profesionales e ingeniería,1882.25,8.0,0.32165713607467084,0.6001517627055593,0.865991864717675
Costa Rica,Electrónicos,Dirección y gerencia,360.75,3.0,0.11707286858280362,0.45740218286204903,0.5744750514448528
Costa Rica,Resto,Ocupaciones elementales,492654.5,9529.0,0.0453099118358136,0.07822852684811742,0.12353843868393102
Costa Rica,Resto,Operadores de planta y máquinas,171489.75,2340.0,0.14020316383084944,0.2482824820310413,0.38848564586189066
Costa Rica,Resto,Oficios y artesanía,246376.75,3420.0,0.06987052872859621,0.19292664408467902,0.26279717281327525
Costa Rica,Resto,Servicios y ventas,431589.75,7395.0,0.12241052954011061,0.2967339895724326,0.41233423226027194
Costa Rica,Resto,Agropecuario calificado,58701.25,1377.0,0.07646423750318465,0.16088813702862143,0.2373523745318061
Costa Rica,Resto,Apoyo administrativo,169401.0,1908.0,0.2873493530285015,0.5461905992710177,0.7933191924380005
Costa Rica,Resto,Técnicos y profesionales asociados,175814.5,2127.0,0.2301338843194637,0.49445732009284615,0.6684700056775787
Costa Rica,Resto,Profesionales e ingeniería,283449.0,3575.0,0.1298612905415371,0.45269984938293145,0.558265168929207
Costa Rica,Resto,Dirección y gerencia,20307.5,264.0,0.04010352135715439,0.4685909778900071,0.5086944992471615
El Salvador,Cables y aparatos eléctricos,Ocupaciones elementales,132.26067949314904,1.0,0.0249999999999999,0.1048611111111111,0.1298611111111111
El Salvador,Cables y aparatos eléctricos,Operadores de planta y máquinas,488.1143393322038,4.0,0.14214994220040916,0.18907000233554405,0.3312199445359532
El Salvador,Cables y aparatos eléctricos,Oficios y artesanía,546.0149009987751,5.0,0.06545770347574223,0.14263433692642294,0.20809204040216517
El Salvador,Cables y aparatos eléctricos,Apoyo administrativo,804.2899017091511,3.0,0.26924971000482606,0.49698360774055417,0.7422964478163165
El Salvador,Cables y aparatos eléctricos,Técnicos y profesionales asociados,379.04233153960996,1.0,0.15,0.39999999999999997,0.55
El Salvador,Cables y aparatos eléctricos,Dirección y gerencia,218.74477551278642,1.0,0.0612244897959183,0.4801920768307323,0.5414165666266506
El Salvador,Dispositivos médicos,Operadores de planta y máquinas,85.48478973846186,1.0,0.08011274179037335,0.09937022042285197,0.17948296221322532
El Salvador,Dispositivos médicos,Servicios y ventas,981.7819128729172,8.0,0.1299808943613779,0.3223639645015338,0.4523448588629118
El Salvador,Dispositivos médicos,Apoyo administrativo,571.6553510231197,2.0,0.22825995079016728,0.5529162419747246,0.7811761927648918
El Salvador,Dispositivos médicos,Técnicos y profesionales asociados,539.2282074224181,6.0,0.07101731797558135,0.17910638835510265,0.25012370633068404
El Salvador,Dispositivos médicos,Profesionales e ingeniería,626.9999938001781,4.0,0.008319819894802198,0.31510309647569945,0.3234229163705017
El Salvador,Dispositivos médicos,Dirección y gerencia,40.817659690090395,1.0,0.1428751786008819,0.4929530629099043,0.6358282415107863
El Salvador,Electrónicos,Ocupaciones elementales,211.78609424149664,2.0,0.16237821054327856,0.20697176506171025,0.36934997560498883
El Salvador,Electrónicos,Operadores de planta y máquinas,1731.046635845762,12.0,0.02453975157236537,0.05938222015253614,0.08392197172490151
El Salvador,Electrónicos,Oficios y artesanía,286.1448754721912,1.0,0.065213644380311,0.1366683202733927,0.2018819646537037
El Salvador,Electrónicos,Servicios y ventas,193.29747549429175,1.0,0.1414473684210526,0.3453947368421052,0.48684210526315796
El Salvador,Electrónicos,Técnicos y profesionales asociados,442.4106391435703,3.0,0.24916700361201527,0.4650188083080797,0.6819206472671079
El Salvador,Electrónicos,Profesionales e ingeniería,37.69917955209877,1.0,0.0096152259866079,0.4407874326947311,0.450402658681339
El Salvador,Resto,Ocupaciones elementales,697711.2754276751,6232.0,0.043934587502094134,0.0824910635023738,0.12642565100446795
El Salvador,Resto,Operadores de planta y máquinas,222573.5230459879,1838.0,0.11784832227103,0.20506350861861836,0.3229118308896483
El Salvador,Resto,Oficios y artesanía,421845.2906250495,3669.0,0.06477109922943629,0.13971806147149407,0.20448916070093034
El Salvador,Resto,Servicios y ventas,840253.7037018675,7176.0,0.09596413061819778,0.29866057461096474,0.3929228616058594
El Salvador,Resto,Agropecuario calificado,227921.340066857,2414.0,0.0753359318702337,0.15671815245013745,0.23205408432037125
El Salvador,Resto,Apoyo administrativo,167837.89453384117,1256.0,0.31577988928454787,0.5651338224826572,0.7918785918713065
El Salvador,Resto,Técnicos y profesionales asociados,153903.03044184909,1199.0,0.2189991940508669,0.45390482291954826,0.6046863142022405
El Salvador,Resto,Profesionales e ingeniería,211691.74473021738,1694.0,0.11889796174183719,0.4381659294719644,0.5239956730563012
El Salvador,Resto,Dirección y gerencia,45397.208838394654,370.0,0.05456532781182958,0.45682933101616036,0.51139465882799
El Salvador,Resto,,15472.024078489158,130.0,0.062483275879455104,0.24832010051627576,0.3108033763957308
Honduras,Cables y aparatos eléctricos,Ocupaciones elementales,1805.6198636201516,6.0,0.0528723922359893,0.13877045560915902,0.19164284784514843
Honduras,Cables y aparatos eléctricos,Operadores de planta y máquinas,15129.346769756918,70.0,0.023980323364844548,0.07791753659022933,0.10189785995507389
Honduras,Cables y aparatos eléctricos,Oficios y artesanía,2333.6355259279817,8.0,0.15613937536664577,0.2579584935501492,0.414097868916795
Honduras,Cables y aparatos eléctricos,Servicios y ventas,94.36799444561738,1.0,0.1577380952380952,0.3135874542124542,0.4713255494505494
Honduras,Cables y aparatos eléctricos,Apoyo administrativo,532.3949037088415,1.0,0.1999999999999999,0.3414141414141414,0.5414141414141413
Honduras,Cables y aparatos eléctricos,Técnicos y profesionales asociados,3990.184064571428,12.0,0.16559571400363468,0.40322949687718984,0.5688252108808245
Honduras,Cables y aparatos eléctricos,Profesionales e ingeniería,82.57199513991522,1.0,0.1847826086956522,0.5543478260869565,0.7391304347826088
Honduras,Cables y aparatos eléctricos,Dirección y gerencia,462.4031727835252,2.0,0.07234432234432227,0.4340659340659341,0.5064102564102565
Honduras,Dispositivos médicos,Técnicos y profesionales asociados,1528.2356143474076,3.0,0.0666666666666666,0.1725044563279857,0.23917112299465232
Honduras,Electrónicos,Oficios y artesanía,210.53479749229678,1.0,0.1762096237096237,0.3000903263403263,0.47629995004995
Honduras,Resto,Ocupaciones elementales,1159372.4607902288,3403.0,0.0485646206985762,0.10079477090116631,0.14935939159974254
Honduras,Resto,Operadores de planta y máquinas,240313.8524186083,722.0,0.10730217276839135,0.19296515871825146,0.3002673314866428
Honduras,Resto,Oficios y artesanía,635130.789401939,1752.0,0.06761131270136896,0.13366590897929329,0.20127722168066223
Honduras,Resto,Servicios y ventas,1025882.1323757179,2901.0,0.1053465709726907,0.34546425726836505,0.43996828899275187
Honduras,Resto,Agropecuario calificado,303666.56835637765,908.0,0.07610397787400296,0.15942100982270435,0.23552498769670732
Honduras,Resto,Apoyo administrativo,133195.6748114673,393.0,0.3737164903145903,0.5829569155188408,0.8287643689698487
Honduras,Resto,Técnicos y profesionales asociados,213702.72728450544,596.0,0.1707105522186507,0.4223113694434167,0.551439891341198
Honduras,Resto,Profesionales e ingeniería,232518.8122414755,554.0,0.09037596359745946,0.41114281730971236,0.4842235423825063
Honduras,Resto,Dirección y gerencia,87899.2425427855,232.0,0.051979159909793723,0.4578374657803204,0.5098166256901143
Honduras,Resto,,7550.008320976266,20.0,0.0652173913043478,0.2391304347826087,0.3043478260869565
México,Cables y aparatos eléctricos,Ocupaciones elementales,29318.75,421.0,0.09204116573701115,0.10433122387079442,0.19637238960780556
México,Cables y aparatos eléctricos,Operadores de planta y máquinas,181610.75,2617.0,0.04852155567873285,0.09781119820150072,0.1463327538802336
México,Cables y aparatos eléctricos,Oficios y artesanía,8153.75,116.0,0.07243455509330503,0.15652434139271454,0.22895889648601958
México,Cables y aparatos eléctricos,Servicios y ventas,3577.5,34.0,0.16928679139636674,0.30181261670242887,0.4584421753943932
México,Cables y aparatos eléctricos,Apoyo administrativo,22247.5,254.0,0.3163582218663776,0.47813119649867997,0.6978009547407854
México,Cables y aparatos eléctricos,Técnicos y profesionales asociados,48821.0,741.0,0.16240654235193275,0.4127547046237861,0.5599595925243879
México,Cables y aparatos eléctricos,Profesionales e ingeniería,17749.75,246.0,0.20952592505397435,0.5429542763876812,0.7348078091488361
México,Cables y aparatos eléctricos,Dirección y gerencia,17791.25,263.0,0.070757633692684,0.4546741390232677,0.5254317727159518
México,Electrónicos,Ocupaciones elementales,23530.75,344.0,0.08853145520727665,0.09438035343757309,0.18291180864484974
México,Electrónicos,Operadores de planta y máquinas,131286.25,2061.0,0.05041372499538006,0.10668207691229895,0.15709580190767902
México,Electrónicos,Oficios y artesanía,8876.75,105.0,0.1202513492445958,0.2238615363460001,0.3441128855905959
México,Electrónicos,Servicios y ventas,4935.5,37.0,0.13450747149089584,0.36974361395414657,0.5030543981793145
México,Electrónicos,Agropecuario calificado,790.5,3.0,0.0604395604395604,0.13827838827838831,0.1987179487179487
México,Electrónicos,Apoyo administrativo,24134.0,283.0,0.279089501713629,0.43959590285034933,0.6650547740250333
México,Electrónicos,Técnicos y profesionales asociados,59145.5,838.0,0.17796856621008675,0.43196013218033175,0.5845920409396266
México,Electrónicos,Profesionales e ingeniería,33442.25,396.0,0.2614898225324865,0.5703959877353927,0.8068878443734957
México,Electrónicos,Dirección y gerencia,17333.25,228.0,0.07390551757248838,0.45149667569746943,0.5254021932699577
México,Ocupaciones de salud (México),Técnicos y profesionales asociados,214781.0,2551.0,0.0741932033216138,0.25440522031910845,0.32859842364072234
México,Resto,Ocupaciones elementales,10087616.75,123444.0,0.05584136743709667,0.09167328940509709,0.14751465684219378
México,Resto,Operadores de planta y máquinas,5874645.5,77891.0,0.12285890566343836,0.20246494219308242,0.3253238478565208
México,Resto,Oficios y artesanía,7237489.5,94426.0,0.0649011476962541,0.23010151380284377,0.2950026614990979
México,Resto,Servicios y ventas,13540923.75,172636.0,0.09714608444640085,0.3113561505370985,0.40721212497531034
México,Resto,Agropecuario calificado,3628222.75,36566.0,0.07144038453205795,0.1510303407120374,0.22247072524409536
México,Resto,Apoyo administrativo,3475316.75,47793.0,0.3078503545506212,0.5253750169790415,0.7849549384311378
México,Resto,Técnicos y profesionales asociados,4552651.0,62130.0,0.19135565494999104,0.48234631251399235,0.6203252602232707
México,Resto,Profesionales e ingeniería,5907098.5,78501.0,0.1152713165467906,0.4358313859352192,0.5450722338542001
México,Resto,Dirección y gerencia,1868212.5,24125.0,0.05464116776715371,0.46377201550894126,0.518413183276095
México,Resto,,6853.75,94.0,0.019222466148332902,0.39372448877921434,0.41294695492754724
Rep. Dominicana,Cables y aparatos eléctricos,Operadores de planta y máquinas,5462.869934082031,5.0,0.0546940778917187,0.1034129212534469,0.1581069991451656
Rep. Dominicana,Cables y aparatos eléctricos,Oficios y artesanía,691.680419921875,1.0,0.067816091954023,0.0847701149425287,0.1525862068965517
Rep. Dominicana,Cables y aparatos eléctricos,Agropecuario calificado,227.4224090576172,1.0,0.0604395604395604,0.1382783882783883,0.1987179487179487
Rep. Dominicana,Cables y aparatos eléctricos,Técnicos y profesionales asociados,806.96044921875,1.0,0.15,0.4,0.55
Rep. Dominicana,Cables y aparatos eléctricos,Dirección y gerencia,623.0491943359375,1.0,0.1261224779766979,0.4600348110258596,0.5861572890025576
Rep. Dominicana,Dispositivos médicos,Ocupaciones elementales,2858.2744750976562,4.0,0.11082940816108727,0.12058816493223562,0.23141757309332292
Rep. Dominicana,Dispositivos médicos,Operadores de planta y máquinas,22307.602508544922,28.0,0.16315547468780955,0.20653397491350853,0.369689449601318
Rep. Dominicana,Dispositivos médicos,Oficios y artesanía,2416.1427001953125,3.0,0.16750437359763656,0.2858985299952624,0.4534029035928989
Rep. Dominicana,Dispositivos médicos,Apoyo administrativo,5865.957672119141,7.0,0.28979526866204236,0.5438878367215861,0.8001695846426485
Rep. Dominicana,Dispositivos médicos,Técnicos y profesionales asociados,4932.794097900391,9.0,0.1422355815082038,0.37880355272694144,0.5210391342351453
Rep. Dominicana,Electrónicos,Operadores de planta y máquinas,691.680419921875,1.0,0.0481283422459893,0.1080162974280621,0.1561446396740514
Rep. Dominicana,Electrónicos,Apoyo administrativo,612.804443359375,1.0,0.1719298245614035,0.5464912280701755,0.718421052631579
Rep. Dominicana,Resto,Ocupaciones elementales,874730.8220825195,1539.0,0.034158867752353585,0.06156050732781434,0.09571937508016794
Rep. Dominicana,Resto,Operadores de planta y máquinas,465433.8203125,714.0,0.13927915537680505,0.2526630305284044,0.39194218590520935
Rep. Dominicana,Resto,Oficios y artesanía,784439.217956543,1211.0,0.04312502682374659,0.10923038657438809,0.15235541339813471
Rep. Dominicana,Resto,Servicios y ventas,1260886.7476348877,1989.0,0.12285165269645618,0.3062809354828417,0.4265626624912531
Rep. Dominicana,Resto,Agropecuario calificado,219483.66204833984,544.0,0.0776801342679242,0.16200466606677866,0.23968480033470294
Rep. Dominicana,Resto,Apoyo administrativo,410866.6689147949,584.0,0.30772670370383026,0.4971574622255093,0.7537030586463047
Rep. Dominicana,Resto,Técnicos y profesionales asociados,323791.2536010742,426.0,0.24486874264973016,0.4929908187199864,0.6458675160521735
Rep. Dominicana,Resto,Profesionales e ingeniería,433586.8543548584,542.0,0.0968970789658769,0.42896725631346544,0.5123397743548712
Rep. Dominicana,Resto,Dirección y gerencia,132422.64572143555,154.0,0.05236917478071322,0.4623694999828337,0.5147386747635471
Rep. Dominicana,Resto,,40894.415603637695,66.0,0.031624861500350626,0.3520386599571548,0.38366352145750543
